Run,Gen,Rule,Fitness,combine,consider_altruism,consider_selfishness,divide,get_max_one_of,get_min_one_of,multiply,possible_decisions,subtract,consider_heuristic,consider_pseudorandom,consider_random,consider_utilitarian,consider_relative_income,downstream_homophily,upstream_homophily
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,
0,0.0,( get-min-one-of (( possible-decisions  ) ) (( divide (( consider-selfishness  ) ) (( multiply (( consider-heuristic  ) ) (( subtract (( combine (( consider-selfishness  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( subtract (( consider-altruism  ) ) (( consider-random  ) )  ) )  ) )  ) )  ) )  ) ,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,,,
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( consider-altruism  ) )  ) ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
0,1.0,( get-max-one-of (( possible-decisions  ) ) (( consider-altruism  ) )  ) ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
0,1.0,( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( divide (( consider-selfishness  ) ) (( multiply (( consider-heuristic  ) ) (( subtract (( combine (( consider-selfishness  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( subtract (( consider-altruism  ) ) (( consider-random  ) )  ) )  ) )  ) )  ) )  ) ,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,,,
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( divide (( consider-selfishness  ) ) (( multiply (( consider-heuristic  ) ) (( subtract (( combine (( consider-selfishness  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-utilitarian  ) )  ) )  ) ) (( subtract (( consider-altruism  ) ) (( consider-random  ) )  ) )  ) )  ) )  ) )  ) ,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,,,
0,1.0,( get-max-one-of (( possible-decisions  ) ) (( consider-altruism  ) )  ) ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( divide (( downstream-homophily  ) ) (( consider-pseudorandom  ) )  ) )  ) ,0.18887670275424734,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( get-min-one-of (( possible-decisions  ) ) (( consider-relative-income  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-min-one-of (( possible-decisions  ) ) (( subtract (( multiply (( consider-utilitarian  ) ) (( combine (( consider-relative-income  ) ) (( consider-relative-income  ) )  ) )  ) ) (( consider-selfishness  ) )  ) )  ) ,0.012600983310375263,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.5031461402084679,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( possible-decisions  ) ) (( upstream-homophily  ) )  ) ,0.14304423006557765,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.5040626938954901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-relative-income  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-relative-income  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-relative-income  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( subtract (( multiply (( consider-utilitarian  ) ) (( combine (( consider-relative-income  ) ) (( consider-relative-income  ) )  ) )  ) ) (( consider-selfishness  ) )  ) )  ) ,0.012602832927703702,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
0,0.0,( get-min-one-of (( possible-decisions  ) ) (( consider-heuristic  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-utilitarian  ) ) (( downstream-homophily  ) )  ) )  ) ,0.3222076634506811,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.5020179988257503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( consider-pseudorandom  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( possible-decisions  ) ) (( consider-utilitarian  ) )  ) ,0.461066396964689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.499307348929155,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-heuristic  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( possible-decisions  ) ) (( consider-heuristic  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( get-max-one-of (( possible-decisions  ) ) (( consider-pseudorandom  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( get-max-one-of (( possible-decisions  ) ) (( consider-pseudorandom  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-max-one-of (( possible-decisions  ) ) (( consider-pseudorandom  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-max-one-of (( possible-decisions  ) ) (( consider-pseudorandom  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-max-one-of (( possible-decisions  ) ) (( consider-pseudorandom  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( possible-decisions  ) ) (( consider-heuristic  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( possible-decisions  ) ) (( consider-heuristic  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( get-min-one-of (( possible-decisions  ) ) (( consider-heuristic  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( get-min-one-of (( possible-decisions  ) ) (( consider-relative-income  ) )  ) ,0.012592660032397285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,3.0,( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,0.5026781497819534,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
