,Model,Samples,Mean_fit,Max_fit
61,( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) ,"[0.5275873338617487, 0.5285418863304492, 0.5281845865974097, 0.5292259079282389, 0.5338664686842939, 0.5294034787908501, 0.5290845173730766, 0.5314158505079866, 0.5319988939178381, 0.5308481347805368, 0.5305929324308363, 0.5305333322436906, 0.5280488176417439, 0.5298689313952383, 0.5307974028500477, 0.5312314634861258, 0.5326694353135525, 0.5281294983132194, 0.5284975805402519, 0.530949751280189, 0.5313635656222581, 0.5316514955115972, 0.5280093300820323, 0.5336229681369087, 0.5302357221923608, 0.5314705502474635, 0.5298454277562734, 0.529569916515482, 0.5307410295650982, 0.5316905208389366]",0.5303225576911912,0.5338664686842939
83,( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) ,"[0.531304668323941, 0.5312071087515543, 0.5312903825594444, 0.5293590004614447, 0.528895808739058, 0.5296719286332507, 0.5308413070064641, 0.5265784122390261, 0.5294229636851331, 0.5289663072647144, 0.5353706495325332, 0.5288989156402036, 0.5318172830808292, 0.5319873266436459, 0.5292818969094067, 0.5319637214083826, 0.5302033641662662, 0.5284319234741393, 0.5318503848800663, 0.5307213141854866, 0.5305966328068815, 0.5312276684309473, 0.5281158133691904, 0.5294167637106414, 0.5275036488795881, 0.5294990913595703, 0.5313926177468378, 0.5285922896957596, 0.5326386281189456, 0.5301758715262642]",0.5302407897743204,0.5353706495325332
63,( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5287161797445201, 0.5291489152862292, 0.5292508425240076, 0.5326727963503789, 0.5285560476615953, 0.5317187315189262, 0.5275032153590586, 0.5317015602443258, 0.5283786320151607, 0.5333141558004636, 0.5297998777550368, 0.5284345269964877, 0.5310064142974117, 0.5305023686597261, 0.527545998920076, 0.5311816254500001, 0.5290595791291366, 0.5294321179556981, 0.5289559490775391, 0.5291116597361153, 0.5281566556638486, 0.5281211615462618, 0.5304058757911497, 0.5284294321281946, 0.5292280668472095, 0.5343368842589405, 0.5319530173681397, 0.533479709327899, 0.5306048193080316, 0.5302099769531926]",0.5300305597891588,0.5343368842589405
44,( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-pseudorandom  ) )  ) )  ) ,"[0.5304725605806496, 0.5303401948422339, 0.5292879845927484, 0.5300182538474807, 0.5290947093692968, 0.5277895703670694, 0.5306341316992371, 0.5297777174510631, 0.5294620481342742, 0.532210539773885, 0.5290970506502709, 0.5315711122213199, 0.5305040085988036, 0.5289964925379337, 0.5288804260701292, 0.5285872456213301, 0.5298373509220301, 0.5298625406330256, 0.5312382172245722, 0.5293283559059198, 0.5314874187028701, 0.5315968048955809, 0.5323462884269123, 0.529536425805874, 0.5308035833924467, 0.5295697298053816, 0.5301611262064743, 0.5314062439498488, 0.5278544326749537, 0.5278155441878897]",0.5299856036363835,0.5323462884269123
82,( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,"[0.5283094242770179, 0.5283813807223066, 0.5274310343271187, 0.5273919102209774, 0.5272519325507269, 0.524608504415762, 0.5248971455342332, 0.5256894537620976, 0.5252288033330299, 0.5244090169982134, 0.5241444206637645, 0.5267953391255523, 0.5240477532026842, 0.5252947870275725, 0.5289236040198528, 0.5247553196473294, 0.5260197374873334, 0.5264017685929965, 0.5283702043892933, 0.5260225451276169, 0.5259594735733174, 0.5247948859436895, 0.5279386697421572, 0.5255638419792299, 0.5275295368181484, 0.5257591092621372, 0.525076736907021, 0.5272946496846603, 0.5250546886373596, 0.5241018141267961]",0.5261149164033332,0.5289236040198528
34,( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-utilitarian  ) ) (( consider-random  ) )  ) )  ) ,"[0.5243583162162505, 0.52592099544995, 0.525310988598244, 0.5244779911604842, 0.5228335382253314, 0.5259141559352745, 0.5236823401179227, 0.5208063561665788, 0.5253600220203121, 0.5225983568088151, 0.5240994786876854, 0.5247811313646364, 0.5233241704393087, 0.5252734309461992, 0.5223069258776772, 0.5231132177395345, 0.5214408438677619, 0.521950656270655, 0.5241971468241884, 0.5221760301189085, 0.5215746823234211, 0.5224795174352735, 0.5233798854449797, 0.5221798132922308, 0.5252032599086346, 0.523857764197469, 0.5225640569495292, 0.526533197294733, 0.5220040571934188, 0.5237618433909338]",0.5235821390088781,0.526533197294733
31,( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-utilitarian  ) )  ) )  ) ,"[0.5244153304124228, 0.5247168262503954, 0.5232858899279456, 0.5240132675583035, 0.5220175044592077, 0.5252963047326162, 0.5229756302700478, 0.5243269884945275, 0.5237046018993112, 0.5244411497862048, 0.5216318427519451, 0.5231603373288134, 0.5229361952459781, 0.5210214637032176, 0.5237651083567042, 0.5253493277342262, 0.5219766681131544, 0.5236356873803354, 0.5218676613528745, 0.521718933337323, 0.5256006708005194, 0.5222984440979526, 0.5222944653250814, 0.5253734737137726, 0.5237291728451874, 0.5238199805089685, 0.5215786075324623, 0.5222849757121292, 0.5218919396173383, 0.5203193047982223]",0.5231815918015729,0.5256006708005194
37,( get-max-one-of (( possible-decisions  ) ) (( multiply (( multiply (( consider-altruism  ) ) (( consider-random  ) )  ) ) (( combine (( consider-utilitarian  ) ) (( consider-heuristic  ) )  ) )  ) )  ) ,"[0.5039612088500436, 0.507306316580339, 0.5046666003924885, 0.5051744453003062, 0.5082469426707914, 0.5065517109345752, 0.5076629573514012, 0.507829542198688, 0.5054235456462917, 0.5078121371143959, 0.5042468381116302, 0.5080659856549604, 0.5073706259254118, 0.507023969026968, 0.5055207574138645, 0.5110829978878416, 0.5035962859087122, 0.5063195050205553, 0.5041279802558245, 0.5100353358602947, 0.5099421227835984, 0.507623930777036, 0.507520822765656, 0.5047782619726088, 0.5049680823779764, 0.5072800571110512, 0.5080389967417251, 0.5117515824369172, 0.5055265745798599, 0.5070122644515035]",0.5068822794701106,0.5117515824369172
26,( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-heuristic  ) ) (( combine (( upstream-homophily  ) ) (( consider-pseudorandom  ) )  ) )  ) )  ) ,"[0.5033624149387045, 0.504526878520425, 0.5080713073091104, 0.500908489438742, 0.5032652143027786, 0.5054388448961078, 0.4999529435173241, 0.5067336897696074, 0.5016364292870601, 0.5012589652868773, 0.5035755165837703, 0.5044646071407819, 0.5069319269571239, 0.5053259501878151, 0.5024766231493389, 0.5047336172186335, 0.4989596112395247, 0.5032156036053902, 0.5038440217226619, 0.5021456417736919, 0.5052202469524163, 0.5040826930162168, 0.5056583772555018, 0.50303316891234, 0.4999324279060793, 0.5038217705616298, 0.5039417612374291, 0.5031340291953643, 0.5008225893364358, 0.5041578930232118]",0.5034877751414031,0.5080713073091104
13,( get-max-one-of (( possible-decisions  ) ) (( combine (( downstream-homophily  ) ) (( multiply (( multiply (( consider-heuristic  ) ) (( consider-altruism  ) )  ) ) (( consider-utilitarian  ) )  ) )  ) )  ) ,"[0.5041060872945622, 0.5038021077287064, 0.5004340696033303, 0.5009823229216643, 0.5019187431669113, 0.5025935805593257, 0.5050023812815734, 0.5029708202458292, 0.5056511433325039, 0.5030066752155661, 0.5027619681420438, 0.5004321055571453, 0.5041922590868896, 0.5008163455660257, 0.5039540741429005, 0.5028581962180113, 0.5028614840145947, 0.5002306809784536, 0.5024744045898862, 0.5026660419535807, 0.5023758149475406, 0.5041729043575622, 0.5032690785028404, 0.5076988083492696, 0.4999215613844301, 0.5022560654795496, 0.5050486593804119, 0.5011844810731685, 0.5048946820797744, 0.5002025773360926]",0.5028246708163383,0.5076988083492696
